Time,TPS,Latency
13.855040,8933.137052,0.000000
13.855600,8933.760352,0.000000
13.855941,8934.424680,0.000000
13.856161,8935.103432,0.000000
13.856351,8935.095702,0.000000
13.856516,8933.933228,0.000000
13.856824,8934.293715,0.000000
13.857053,8934.795551,0.000000
13.857463,8935.375363,0.000000
13.858338,8935.974397,0.000000
13.858614,8936.589886,0.000000
13.858868,8937.112996,0.000000
13.859314,8937.686500,0.000000
13.863208,8938.143801,0.000000
13.863365,8938.301152,0.000000
13.863760,8938.844930,0.000000
13.864031,8939.402447,0.000000
13.864135,8939.836389,0.000000
13.864207,8938.046716,0.000000
13.864276,8938.666605,0.000000
13.864350,8939.133395,0.000000
13.880581,8939.679657,0.000000
13.880933,8940.334421,0.000000
13.881303,8941.009031,0.000000
13.881406,8941.685731,0.000000
13.881454,8942.359092,0.000000
13.885340,8932.623370,0.000000
13.891884,8933.117077,0.000000
13.891964,8933.599415,0.000000
13.916860,8934.253516,0.000000
13.918052,8934.943009,0.000000
13.937208,8933.162763,0.000000
13.943689,8929.674387,0.000000
13.945644,8930.342590,0.000000
13.949735,8915.085597,0.000000
13.949757,8915.040483,0.000000
13.952211,8903.504734,0.000000
13.953050,8900.083864,1.000000
13.954538,8899.553097,1.000000
13.957374,8897.660249,1.000000
13.968094,8898.363128,1.000000
13.972243,8897.514523,1.000000
13.972520,8897.696308,1.000000
13.979799,8897.463718,1.000000
13.980513,8896.372335,1.000000
13.997931,8890.260745,1.000000
13.998279,8888.336974,1.000000
13.998735,8888.876112,1.000000
14.001518,8884.962959,1.000000
14.001734,8885.224953,1.000000
14.010718,8874.882956,1.000000
14.010840,8875.376752,1.000000
14.012249,8875.801939,1.000000
14.014504,8874.751797,1.000000
14.014631,8875.329457,1.000000
14.014734,8870.352048,1.000000
14.015251,8870.988647,1.000000
14.015789,8870.809866,1.000000
14.016033,8870.096268,1.000000
14.016307,8870.729190,1.000000
14.016942,8871.378084,1.000000
14.017389,8871.763894,1.000000
14.017630,8872.136961,1.000000
14.017841,8872.696005,1.000000
14.018999,8873.236273,1.000000
14.020477,8873.547454,1.000000
14.021341,8873.977806,1.000000
14.049408,8874.538917,1.000000
14.054069,8875.118817,1.000000
14.054327,8875.098767,1.000000
14.054758,8874.876104,1.000000
14.054952,8875.042482,1.000000
14.055171,8858.024717,1.000000
14.062268,8855.798563,1.000000
14.063390,8856.347388,1.000000
14.065524,8856.787330,1.000000
14.067153,8857.376179,1.000000
14.067264,8857.950123,1.000000
14.067505,8854.190650,1.000000
14.067743,8854.195472,1.000000
14.068054,8853.562718,1.000000
14.068367,8853.248730,1.000000
14.068439,8853.889270,1.000000
14.068550,8854.448525,1.000000
14.068791,8855.009753,1.000000
14.069116,8855.524775,1.000000
14.069372,8856.038777,1.000000
14.069636,8856.704055,1.000000
14.070075,8857.345112,1.000000
14.071262,8857.903680,1.000000
14.071783,8858.410467,1.000000
14.072073,8858.959522,1.000000
14.072345,8859.504176,1.000000
14.072586,8859.938715,1.000000
14.072799,8859.901808,1.000000
14.074207,8860.284364,1.000000
14.074595,8860.812686,1.000000
14.076380,8861.351664,1.000000
14.083869,8861.910825,1.000000
14.084083,8862.487102,1.000000
14.084114,8862.310956,1.000000
14.084191,8862.776988,1.000000
14.084267,8862.363761,1.000000
14.084413,8858.361109,1.000000
14.084434,8858.936768,1.000000
14.084498,8859.627394,1.000000
14.084573,8860.288895,1.000000
14.084803,8860.950964,1.000000
14.084810,8861.569064,1.000000
14.084934,8862.266169,1.000000
14.084971,8862.935664,1.000000
14.085022,8863.598596,1.000000
14.085107,8864.163842,1.000000
14.085165,8864.869185,1.000000
14.088201,8865.501198,1.000000
14.092898,8866.187676,1.000000
14.093837,8866.865862,1.000000
14.094013,8867.522191,1.000000
14.094846,8868.195984,1.000000
14.094874,8866.994234,1.000000
14.095565,8864.749017,1.000000
14.100448,8864.867619,1.000000
14.100517,8865.466676,1.000000
14.100606,8865.652000,1.000000
14.100657,8866.344049,1.000000
14.100684,8866.618527,1.000000
14.100762,8864.257205,1.000000
14.100810,8864.923389,1.000000
14.100899,8865.576232,1.000000
14.101218,8866.253353,1.000000
14.101304,8866.945719,1.000000
14.101405,8867.606114,1.000000
14.101538,8868.284636,1.000000
14.101615,8868.938073,1.000000
14.101631,8869.446833,1.000000
14.101708,8870.101554,1.000000
14.101853,8870.747172,1.000000
14.101952,8871.372858,1.000000
14.101987,8872.033766,1.000000
14.102030,8872.732208,1.000000
14.102053,8873.392920,1.000000
14.102122,8874.010807,1.000000
14.102216,8874.657605,1.000000
14.102325,8875.345302,1.000000
14.102421,8876.026780,1.000000
